57632      57266  	  59287	     63365  	61299  	   60047      64634  	 64770	    61594      67825  	  54306
21134      19800  	  20762	     28543  	22729  	   21396      21306  	 22719	    24372      19419  	  19429
19311      19417  	  19300	     19416  	19388  	   19349      19330  	 19406	    19342      19471  	  19422
6031  	6063  	   6025	      6189  	 6085  	    6067       6058  	  6045	     6065  	6109  	   6056
916  	 922  	    917	       926  	  929  	     927  	924  	   930	      923  	1006  	    922
1048  	1027  	   1030	      1062  	 1028  	    1029       1029  	  1029	     1057  	1056  	   1034
854  	 911  	    849	       855  	  851  	     851  	848  	   917	      860  	 879  	    880







